// ==========================================
// MODAL VERBS
// ==========================================

dürfen, (to be allowed to), er darf, er durfte, er hat gedurft
schlagen, (to hit/beat/strike), er schlägt, er schlug, er hat geschlagen
schließen, (to close/shut), er schließt, er schloß, er hat geschlossen
schneiden, (to cut), er schneidet, er schnitt, er hat geschnitten
schreiben, (to write), er schreibt, er schrieb, er hat geschrieben
schreien, (to shout/yell), er schreit, er schrie, er hat geschrie(e)n
schweigen, (to be(come) silent), er schweigt, er schwieg, er hat geschwiegen
schwellen, (to swell), er schwillt, er schwoll, er ist geschwollen
schwimmen, (to swim), er schwimmt, er schwamm, er ist geschwommen
schwingen, (to swing), er schwingt, er schwang, er hat geschwungen
schwören, (to swear (an oath)), er schwört, er schwur, er hat geschworen
sehen, (to see), er sieht, er sah, er hat gesehen
senden, (to send), er sendet, er sandte, er hat gesandt
singen, (to sing), er singt, er sang, er hat gesungen
sinken, (to sink), er sinkt, er sank, er ist gesunken
sitzen, (to sit), er sitzt, er saß, er hat gesessen
sprechen, (to speak), er spricht, er sprach, er hat gesprochen
springen, (to jump/spring), er springt, er sprang, er ist gesprungen
stechen, (to prick/sting), er sticht, er stach, er hat gestochen
stehen, (to stand), er steht, er stand, er hat gestanden
stehlen, (to steal), er stiehlt, er stahl, er hat gestohlen
sterben, (to die), er stirbt, er starb, er ist gestorben
stinken, (to stink), er stinkt, er stank, er hat gestunken
streichen, (to paint), er streicht, er strich, er hat gestrichen
tragen, (to wear/carry), er trägt, er trug, er hat getragen
treffen, (to meet), er trifft, er traf, er hat getroffen
treiben, (to force/drive/urge), er treibt, er trieb, er hat getrieben
treten, (to step/go), er tritt, er trat, er ist getreten
trinken, (to drink), er trinkt, er trank, er hat getrunken
tun, (to do), er tut, er tat, er hat getan
wachsen, (to grow (by itself)), er wächst, er wuchs, er ist gewachsen
waschen, (to wash), er wäscht, er wusch, er hat gewaschen
werben, (to advertise/push), er wirbt, er warb, er hat geworben
werfen, (to throw), er wirft, er warf, er hat geworfen
wiegen, (to weigh), er wiegt, er wog, er hat gewogen
wissen, (to know (a fact)), er weiß, er wusste, er hat gewusst
ziehen, (to pull/draw), er zieht, er zog, er hat gezogen
ziehen, (to go/move), er zieht, er zog, er ist gezogen
zwingen, (to compel, force), er zwingt, er zwang, er hat gezwungen

// w seperable prefix
abbrechen, (to cancel/abort), er bricht ab, er brach ab, er hat abgebrochen
abnehmen, (to take (something) off), er nimmt ab, er nahm ab, er hat abgenommen
abwaschen, (to wash (the dishes)), er wäscht ab, er wusch ab, er hat abgewaschen
anrufen, (to call (on the phone)), er ruft an, er rief an, er hat angerufen
anschließen, (to connect), er schließt an, er schloß an, er hat angeschlossen
aufladen, (to charge), er lädt auf, er lud auf, er hat aufgeladen
beitreten, (to join (a club)), er tritt bei, er trat bei, er ist beigetreten
teilnehmen, (to take part), er nimmt teil, er nahm teil, er hat teilgenommen
übernehmen, (to take over), er nimmt über, er nahm über, er hat übergenommen
vorschlagen, (to suggest), er schlägt vor, er schlug vor, er hat vorgeschlagen
